The name of the password cracker you used 
John the ripper

Which passwords you attacked
Unix Passwords
natasha:hbr113:1643:100:natasha zambrano:/usr/home/natasha:/bin/tcsh
chu:purpl3:1310:100:chu cates:/usr/home/chu:/bin/tcsh
tommy:Shanghai:1453:100:tommy snipes:/usr/home/tommy:/bin/tcsh
long:style2k:2980:100:long laplante:/usr/home/long:/bin/tcsh
camille:maya87:2497:100:camille beverly:/usr/home/camille:/bin/tcsh
karon:minkim01:1454:100:karon daniels:/usr/home/karon:/bin/tcsh
lionel:linda12:1378:100:lionel fife:/usr/home/lionel:/bin/tcsh
margareta:malloc20:2167:100:margareta pressley:/usr/home/margareta:/bin/tcsh
donovan:abcd1234:2871:100:donovan bowens:/usr/home/donovan:/bin/tcsh
ariel:sigma1:2196:100:ariel mace:/usr/home/ariel:/bin/tcsh
verna:peter102:1768:100:verna rosa:/usr/home/verna:/bin/tcsh
silas:PASSWORD:2024:100:silas durbin:/usr/home/silas:/bin/tcsh
ty:welcome!:1936:100:ty abbott:/usr/home/ty:/bin/tcsh
stevie:1qaz2wsx:2805:100:stevie roche:/usr/home/stevie:/bin/tcsh
katlyn:cather12:1756:100:katlyn turnage:/usr/home/katlyn:/bin/tcsh
lizabeth:doggles4:1830:100:lizabeth hoyt:/usr/home/lizabeth:/bin/tcsh
brittani:toshiba6:1899:100:brittani mcadams:/usr/home/brittani:/bin/tcsh
awilda:abcdef12:2172:100:awilda marino:/usr/home/awilda:/bin/tcsh
agueda:12345678:2875:100:agueda roland:/usr/home/agueda:/bin/tcsh
bernarda:aa0817:1115:100:bernarda collazo:/usr/home/bernarda:/bin/tcsh
royal:cg3266:1655:100:royal morse:/usr/home/royal:/bin/tcsh
eda:changeme:2748:100:eda brandenburg:/usr/home/eda:/bin/tcsh
lindsey:mutter62:1380:100:lindsey hendon:/usr/home/lindsey:/bin/tcsh
shelly:pr1nc355:2550:100:shelly skidmore:/usr/home/shelly:/bin/tcsh
kanesha:bisia123:1288:100:kanesha brantley:/usr/home/kanesha:/bin/tcsh
shirlene:kuna123:2194:100:shirlene plourde:/usr/home/shirlene:/bin/tcsh
temika:musbo11:1318:100:temika pettit:/usr/home/temika:/bin/tcsh
fidelia:aa12345:2590:100:fidelia carman:/usr/home/fidelia:/bin/tcsh
robbin:paladin1:2123:100:robbin hoag:/usr/home/robbin:/bin/tcsh
sacha:nov569:2637:100:sacha carranza:/usr/home/sacha:/bin/tcsh
yuk:meemer81:1528:100:yuk orton:/usr/home/yuk:/bin/tcsh
susana:cracker2:1843:100:susana chau:/usr/home/susana:/bin/tcsh
freddie:jelly1:2155:100:freddie tobias:/usr/home/freddie:/bin/tcsh
chandra:abcd1234:1283:100:chandra campbell:/usr/home/chandra:/bin/tcsh
glenda:samba123:1593:100:glenda hurd:/usr/home/glenda:/bin/tcsh
marline:luna23:2649:100:marline neville:/usr/home/marline:/bin/tcsh
erma:passw0rd:2928:100:erma schwarz:/usr/home/erma:/bin/tcsh
joi:mina95:2763:100:joi chapin:/usr/home/joi:/bin/tcsh
bong:dong1020:2650:100:bong puckett:/usr/home/bong:/bin/tcsh
pearlene:anil1974:2941:100:pearlene crowley:/usr/home/pearlene:/bin/tcsh
deshawn:iarc94:1137:100:deshawn craig:/usr/home/deshawn:/bin/tcsh
ayesha:manick13:1739:100:ayesha rock:/usr/home/ayesha:/bin/tcsh
guillermina:cammi96:1724:100:guillermina jamison:/usr/home/guillermina:/bin/tcsh
adelle:liu135:1182:100:adelle huston:/usr/home/adelle:/bin/tcsh
margart:all4one:1238:100:margart garza:/usr/home/margart:/bin/tcsh
elwanda:blam2112:1457:100:elwanda kirsch:/usr/home/elwanda:/bin/tcsh
spencer:lemmen12:2014:100:spencer bauer:/usr/home/spencer:/bin/tcsh
elsie:fukahol:1332:100:elsie carrion:/usr/home/elsie:/bin/tcsh
nita:rahel11:2639:100:nita pounds:/usr/home/nita:/bin/tcsh
lavenia:chiang2:2452:100:lavenia lynch:/usr/home/lavenia:/bin/tcsh

86 password hashes cracked, 1051 left

The number of encryptions per second you found
4108000 Encryptions tested per second
